"scenename","scenecontent","ep_number"
"Replimat","GARAK: It's Doctor Bashir, isn't it? Of course it is. May I introduce myself?",404
"Replimat","BASHIR: Er, yes, yes, of course.",404
"Replimat","GARAK: My name is Garak. Cardassian by birth, obviously. The only one of us left on this station, as a matter of fact, so I do appreciate making new friends whenever I can. You are new to this station, I believe.",404
"Replimat","BASHIR: I am, yes. Though, though I understand you've been here quite a while.",404
"Replimat","GARAK: Ah, you know of me then.",404
"Replimat","BASHIR: Would you care for some of this Tarkalean tea? It's very good.",404
"Replimat","GARAK: What a thoughtful young man. How nice that we've met.",404
"Replimat","BASHIR: You know, some people say that you remained on DS Nine as the eyes and ears of your fellow Cardassians.",404
"Replimat","GARAK: You don't say? Doctor, you're not intimating that I'm considered some sort of spy, are you?",404
"Replimat","BASHIR: I wouldn't know, sir.",404
"Replimat","GARAK: Ah. An open mind. The essence of intellect. As you may also know, I have a clothing shop nearby, so if you should require any apparel, or merely wish, as I do, for a bit of enjoyable company now and then, I'm at your disposal, Doctor.",404
"Replimat","BASHIR: You're very kind, Mister Garak.",404
"Replimat","GARAK: Oh, it's just Garak. Plain, simple Garak. Now, good day to you, Doctor. I'm so glad to have made such an interesting new friend today. ",404
"Ops","BASHIR: You won't never believe who just sat down next to me at the Replimat",404
"Ops","O'BRIEN: Major, upper pylon three'll be shut down for maintenance for forty-eight hours.",404
"Ops","BASHIR: The spy! Garak, the Cardassian.",404
"Ops","SISKO: We don't know for a fact Garak's a spy, Doctor.",404
"Ops","BASHIR: He is. You should have heard him. He introduced himself and he struck up conversation just like that. he was making contact with me, with me of all people.",404
"Ops","DAX: What do you think he might want from you, Julian?",404
"Ops","BASHIR: I don't know. Federation medical secrets? Rest assured they're safe with me, Commander.",404
"Ops","SISKO: I'm sure they are, Doctor Bashir.",404
"Ops","BASHIR: In fact, Chief O'Brien, I think you should place a monitoring device on me. Well, just in case he's up to something?",404
"Ops","SISKO: I don't think that'll be necessary, Doctor. Just be very cautious when you're around him.",404
"Ops","KIRA: (who's had a hair cut) Commander? We've got a small craft taking evasive action. Cardassian war vessel in pursuit.",404
"Ops","SISKO: On screen.",404
"Ops","KIRA: That's Bajoran. That damned Cardassian's firing at a Bajoran scout ship in Bajoran space!",404
"Ops","SISKO: Mister O'Brien?",404
"Ops","O'BRIEN: Confirmed, sir. They've crossed into Bajoran space.",404
"Ops","SISKO: Open a hailing frequency to the Cardassians.",404
"Ops","O'BRIEN: Channel open.",404
"Ops","SISKO: Cardassian vessel, you are violating Bajoran space. Break off your pursuit. Repeat, break off now.",404
"Ops","O'BRIEN: No reply from the Cardassians. The Bajoran vessel is hailing us.",404
"Ops","SISKO: Open the channel.",404
"Ops","TAHNA [OC]: Space station, do you read? Space station",404
"Ops","O'BRIEN: We can only get audio, Commander.",404
"Ops","SISKO: This is Benjamin Sisko, Starfleet Commander of the station. Who are you? Why are they pursuing?",404
"Ops","TAHNA [OC]: Please! Repeating request for emergency docking! Please!",404
"Ops","DAX: The Bajoran scout ship is badly damaged. Structural integrity is failing.",404
"Ops","(The little ship gets hit again)",404
"Ops","DAX: He's breaking up.",404
"Ops","SISKO: Get him out, Mister O'Brien.",404
"Ops","O'BRIEN: Aye, sir.",404
"Ops","(KaBOOM, and a crouching figure is beamed in)",404
"Ops","BASHIR: Medical assistance to Ops.",404
"Ops","TAHNA: My name is Tahna Los. Request political asylum. Kira?",404
"Ops","(after the opening credits, medics are wheeling Tahna away)",404
"Ops","KIRA: His name is Tahna Los. We fought together in the underground.",404
"Ops","O'BRIEN: Commander, the Cardassians are hailing us.",404
"Ops","KIRA: Now they want to talk.",404
"Ops","O'BRIEN: They're hopping mad.",404
"Ops","SISKO: Open the channel, Mister O'Brien.",404
"Ops","GUL DANAR [on viewscreen]: Federation Commander, you've taken aboard a known criminal. You will turn him over to us.",404
"Ops","SISKO: He has requested asylum.",404
"Ops","GUL DANAR [on viewscreen]: You have not granted it.",404
"Ops","SISKO: To be honest, I haven't decided yet.",404
"Ops","GUL DANAR [on viewscreen]: He is Kohn-Ma! Even the Bajorans would not grant his kind asylum. He has committed heinous crimes against the Cardassian people and I demand you release him to our custody.",404
"Ops","SISKO: I'll investigate the matter immediately. In the interim, if you'd care to dock your vessel, I'll be glad to hear an explanation for having violated Bajoran space and threatened a Federation facility.",404
"Ops","GUL DANAR [on viewscreen]: We have made no threat to your facility.",404
"Ops","SISKO: I stand corrected. Sisko out.",404
"Ops","(transmission ends)",404
"Ops","SISKO: The Major and I will be at the Infirmary. I'd like some time to talk with this fellow Tahna. When Gul Danar comes in, it'd be nice if we had a few docking regulations to keep him outside a while.",404
"Ops","O'BRIEN: Understood.",404
"Ops","(Sisko and Kira get onto the lift)",404
"Ops","KIRA: You're not seriously considering handing Tahna over to the Cardassians? ",404
"Turbolift","SISKO: Were you part of this Kohn-Ma, Major?",404
"Turbolift","KIRA: If I had been, I would not be working with the provisional government now.",404
"Turbolift","SISKO: You'd still be out murdering Cardassians or even some Bajorans that the Kohn-Ma hold in contempt. Didn't they claim responsibility for the assassination of one of your First Ministers last month? ",404
"Promenade","KIRA: Look, I know Tahna.",404
"Promenade","SISKO: Is he Kohn-Ma?",404
"Promenade","KIRA: Yes, but",404
"Promenade","SISKO: I suggest you get your priorities straight, Major, because I don't have any room for divided loyalties in this command. And I won't have a Kohn-Ma terrorist using this station as a protective shield for continuing violence.",404
"Promenade","KIRA: My priorities are straight, Commander. Let's not be confused here. my loyalties are to Bajor, and Bajor needs men like Tahna Los.",404
"Promenade","SISKO: Apparently his war with the Cardassians isn't over yet.",404
"Promenade","KIRA: If Bajor is ever to rebuild a strong and independent society, it will require the repatriation of splinter groups like the Kohn-Ma. You have, we have, an opportunity here, Commander. I hope you don't miss it. ",404
"Infirmary","Tahna is on his side on a biobed)",404
"Infirmary","KIRA: How is he?",404
"Infirmary","BASHIR: Second degree burns, lacerations, a minor concussion. Not much compared to what he's been through before.",404
"Infirmary","SISKO: Before?",404
"Infirmary","BASHIR: The most recent of these scars is only two, perhaps three years old.",404
"Infirmary","TAHNA: Two and a half, actually.",404
"Infirmary","BASHIR: It's remarkable you lived through this.",404
"Infirmary","KIRA: It's a Cardassian technique designed to keep you alive.",404
"Infirmary","SISKO: I'm Commander Benjamin Sisko. I have a few questions for you if you're up to answering them.",404
